question,category
What is an exception in Ada?,Ada
What is the keyword to raise an exception?,Ada
What is the keyword to handle exceptions?,Ada
What is the predefined Ada boolean type?,Ada
What are Boolean literals?,Ada
What does the `loop` keyword define?,Ada
What is `exit when` in Ada?,Ada
What is the keyword for conditional branching?,Ada
What is the keyword for multiple branching?,Ada
What is the default accessibility of package elements?,Ada
What is a subtype in Ada?,Ada
What is a range constraint?,Ada
What is a discriminant in Ada?,Ada
What is a generic unit?,Ada
What is the keyword to define a constant?,Ada
Can Ada enforce strong typing between different integer subtypes?,Ada
What is `renames` in Ada?,Ada
What is Ada.Text_IO used for?,Ada
What is Ada.Integer_Text_IO used for?,Ada
What is Ada.Float_Text_IO used for?,Ada
What is the Ada keyword for comments?,Ada
What is pragma in Ada?,Ada
What is `pragma Inline`?,Ada
What is `pragma Import`?,Ada
What is the entry point of an Ada program?,Ada
What is `begin` in Ada?,Ada
What is `declare` block in Ada?,Ada
What is a tagged type?,Ada
What is difference between procedure and function?,Ada
What is difference between variable and constant?,Ada
What is difference between `use` and `with`?,Ada
What is difference between array and record?,Ada
What is difference between exception and pragma?,Ada
What is difference between `exit` and `return`?,Ada
What is difference between task and subprogram?,Ada
What is difference between access type and pointer?,Ada
What is difference between private and public parts of a package?,Ada
What is difference between subtype and derived type?,Ada
What is difference between package body and specification?,Ada
What is difference between `renames` and `use`?,Ada
What is difference between `for loop` and `while loop` in Ada?,Ada
What is a task entry?,Ada
What is a protected object?,Ada
What is rendezvous in Ada?,Ada
What is difference between discriminant and generic?,Ada
What is Ada’s strongest typing feature?,Ada
What is modular type in Ada?,Ada
What is fixed-point type in Ada?,Ada
What is floating-point type in Ada?,Ada
What is Ada.Text_IO.Put_Line?,Ada
What is Ada.Text_IO.Get_Line?,Ada
What is a child package?,Ada
What is overloading in Ada?,Ada
What is overriding in Ada?,Ada
What is an access-to-subprogram type?,Ada
What is discriminant constraint?,Ada
What is difference between abort and terminate in tasks?,Ada
What is select statement in Ada tasks?,Ada
What is delay statement in Ada?,Ada
What is requeue statement?,Ada
What is task attribute ’Caller?,Ada
What is use of pragma Pure?,Ada
What is use of pragma Preelaborate?,Ada
What is use of pragma Elaborate_Body?,Ada
What is use of pragma Suppress?,Ada
What is difference between pragma Inline and Optimize?,Ada
What is Ada.Calendar?,Ada
What is Ada.Numerics?,Ada
What is Ada.Numerics.Float_Random?,Ada
What is Ada.Numerics.Discrete_Random?,Ada
What is difference between `exit when` and `return when`?,Ada
What is generic formal parameter?,Ada
What is instantiation in generics?,Ada
What is Ada’s concurrency safety mechanism?,Ada
What is Ada’s approach to exception safety?,Ada
What is predefined exception Constraint_Error?,Ada
What is predefined exception Program_Error?,Ada
What is predefined exception Storage_Error?,Ada
Explain Ada’s strong typing system.,Ada
How does Ada handle range constraints at runtime?,Ada
What are advantages of using discriminated records?,Ada
How does Ada implement task synchronization?,Ada
Explain difference between protected objects and tasks.,Ada
How does Ada implement real-time systems?,Ada
What is Ravenscar profile?,Ada
What is difference between synchronous and asynchronous select?,Ada
What is difference between priority ceiling protocol and priority inheritance?,Ada
What is a discriminant-dependent array?,Ada
How does Ada handle unchecked conversions?,Ada
What are unchecked deallocation risks?,Ada
What is pragma Restrictions?,Ada
What is pragma Reviewable?,Ada
What is difference between Ada and C in memory safety?,Ada
What is difference between Ada and Java concurrency?,Ada
What is difference between Ada exceptions and C++ exceptions?,Ada
What is difference between tagged and untagged types?,Ada
What is class-wide type in Ada?,Ada
What is dispatching in Ada?,Ada
What is difference between static and dynamic binding in Ada?,Ada
What is use of pragma Atomic?,Ada
What is use of pragma Volatile?,Ada
What is difference between controlled and limited types?,Ada
What are storage pools in Ada?,Ada
What is difference between user-defined and default storage pools?,Ada
What is Ada.Real_Time package?,Ada
What is Ada.Synchronous_Task_Control?,Ada
What is Ada.Interrupts?,Ada
What is Ada.Streams?,Ada
What is difference between text I/O and stream I/O?,Ada
What is difference between strong and weak typing?,Ada
How does Ada ensure portability?,Ada
What is Ada’s approach to safety-critical programming?,Ada
What is difference between Ada task states?,Ada
What is difference between cooperative and preemptive scheduling?,Ada
What is task termination detection?,Ada
What is difference between blocking and non-blocking entry call?,Ada
What is deadline monotonic scheduling?,Ada
What is difference between cyclic executive and tasking model?,Ada
What is stack overflow handled in Ada?,Ada
What is memory leak risk in Ada?,Ada
What is Ada’s method for interfacing with hardware registers?,Ada
What is pragma Import and Export?,Ada
What is System.Address?,Ada
What is Ada’s advantage over C in embedded systems?,Ada
What is Ada’s role in avionics?,Ada
What is difference between Ada generics and C++ templates?,Ada
What is static analysis in Ada?,Ada
What is SPARK Ada?,Ada
What is Solidity?,Solidity
Who created Solidity?,Solidity
What is the file extension of Solidity files?,Solidity
What is the latest major Solidity version family?,Solidity
What is a smart contract?,Solidity
What does EVM stand for?,Solidity
What keyword declares a contract?,Solidity
What is pragma in Solidity?,Solidity
What does pragma solidity ^0.8.0 mean?,Solidity
What is state variable in Solidity?,Solidity
What is a local variable in Solidity?,Solidity
What is a function in Solidity?,Solidity
What is constructor in Solidity?,Solidity
What is fallback function?,Solidity
What is receive function?,Solidity
What is public visibility in Solidity?,Solidity
What is private visibility in Solidity?,Solidity
What is internal visibility in Solidity?,Solidity
What is external visibility in Solidity?,Solidity
What is constant in Solidity?,Solidity
What is immutable in Solidity?,Solidity
What is mapping in Solidity?,Solidity
What is array in Solidity?,Solidity
What is struct in Solidity?,Solidity
What is event in Solidity?,Solidity
What is emit keyword in Solidity?,Solidity
What is msg.sender?,Solidity
What is msg.value?,Solidity
What is msg.data?,Solidity
What is msg.gas or gasleft()?,Solidity
What is block.timestamp?,Solidity
What is block.number?,Solidity
What is ether unit in Solidity?,Solidity
What are other Ether denominations?,Solidity
What is gas in Solidity?,Solidity
What is gas price?,Solidity
What does require() do?,Solidity
What does assert() do?,Solidity
What does revert() do?,Solidity
What is keccak256 in Solidity?,Solidity
What is abi.encodePacked()?,Solidity
What is now keyword?,Solidity
What is address type in Solidity?,Solidity
What is payable modifier in Solidity?,Solidity
What is balance property of address?,Solidity
What is transfer() in Solidity?,Solidity
What is send() in Solidity?,Solidity
What is call() in Solidity?,Solidity
What is selfdestruct() in Solidity?,Solidity
What is importance of Slither tool?,Solidity
What is inheritance in Solidity?,Solidity
What is multiple inheritance in Solidity?,Solidity
What is interface in Solidity?,Solidity
What is abstract contract?,Solidity
What is library in Solidity?,Solidity
What is using for directive?,Solidity
What is modifier in Solidity?,Solidity
What is onlyOwner pattern?,Solidity
What is Ownable contract?,Solidity
What is reentrancy attack?,Solidity
What is ReentrancyGuard?,Solidity
What is Checks-Effects-Interactions pattern?,Solidity
What is fallback gas limit in Solidity 0.8?,Solidity
What is delegatecall in Solidity?,Solidity
What is callcode (deprecated)?,Solidity
What is difference between call and delegatecall?,Solidity
What is storage in Solidity?,Solidity
What is memory in Solidity?,Solidity
What is calldata in Solidity?,Solidity
What is difference between storage and memory?,Solidity
What is difference between memory and calldata?,Solidity
What is EOA in Ethereum?,Solidity
What is contract account?,Solidity
What is constructor visibility in Solidity?,Solidity
What happens if constructor is not defined?,Solidity
What is inheritance order resolution?,Solidity
What is super keyword?,Solidity
What is diamond problem in Solidity?,Solidity
What is storage slot in Solidity?,Solidity
How are mappings stored in Solidity?,Solidity
What is ABI in Solidity?,Solidity
What is ABIEncoderV2?,Solidity
What is gas stipend?,Solidity
What is blockhash() in Solidity?,Solidity
What is tx.origin?,Solidity
Why should tx.origin not be used for authorization?,Solidity
What is constructor chaining?,Solidity
What is view function?,Solidity
What is pure function?,Solidity
What is difference between view and pure?,Solidity
What is virtual keyword?,Solidity
What is override keyword?,Solidity
What is payable constructor?,Solidity
What is immutable variable?,Solidity
What is storage layout in Solidity upgrades?,Solidity
What is proxy pattern?,Solidity
What is Transparent Proxy pattern?,Solidity
What is UUPS proxy?,Solidity
What is Diamond Standard (EIP-2535)?,Solidity
What is Mythril?,Solidity
What is gas refund in Solidity?,Solidity
What is gas griefing attack?,Solidity
What is storage collision in Solidity?,Solidity
What is delegatecall exploit?,Solidity
What is parity wallet bug?,Solidity
What is integer overflow?,Solidity
How did Solidity 0.8 fix overflow/underflow?,Solidity
What is SafeMath library?,Solidity
What is frontrunning attack?,Solidity
What is sandwich attack?,Solidity
What is flash loan attack?,Solidity
What is time manipulation attack?,Solidity
What is Oracle manipulation attack?,Solidity
What is DoS with revert attack?,Solidity
What is DoS with block gas limit attack?,Solidity
What is gasless send problem?,Solidity
What is function selector in Solidity?,Solidity
What is function overloading?,Solidity
What is constructor overloading?,Solidity
What is EIP-1559?,Solidity
What is CREATE2 opcode?,Solidity
What is metamorphic contract?,Solidity
What is shadowing in Solidity?,Solidity
What is storage packing in Solidity?,Solidity
What is memory expansion cost?,Solidity
What is revert reason string?,Solidity
What is contract ABI encoding collision?,Solidity
What is upgradeable contract vulnerability?,Solidity
What is unstructured storage pattern?,Solidity
What is storage gap pattern?,Solidity
What is eternal storage pattern?,Solidity
What is delegatecall loop vulnerability?,Solidity
What is CREATE opcode?,Solidity
What is SELFDESTRUCT risk?,Solidity
What is Solidity Yul?,Solidity
What is inline assembly?,Solidity
What is opcode in EVM?,Solidity
What is SSTORE gas cost?,Solidity
What is SLOAD gas cost?,Solidity
What is EIP-1967?,Solidity
What is EIP-1822 (UUPS)?,Solidity
What is difference between Transparent Proxy and UUPS?,Solidity
What is delegatecall gas forwarding?,Solidity
What is CREATE2 collision risk?,Solidity
What is Gas Token (GST2)?,Solidity
What is EVM word size?,Solidity
What is stack too deep error in Solidity?,Solidity
What is EIP-2535 (Diamond Standard)?,Solidity
What is difference between memory and stack?,Solidity
What is Q#?,Q#
Who developed Q#?,Q#
What is QDK in Q#?,Q#
What type of language is Q#?,Q#
Can Q# run quantum programs on classical computers?,Q#
What extension do Q# source files use?,Q#
What is a qubit in Q#?,Q#
How do you declare a qubit in Q#?,Q#
What is a quantum operation in Q#?,Q#
What keyword defines an operation in Q#?,Q#
What keyword defines a function in Q#?,Q#
What is the difference between function and operation in Q#?,Q#
How do you measure a qubit in Q#?,Q#
What are the possible outcomes of a qubit measurement?,Q#
What is Pauli operator in Q#?,Q#
What is the Hadamard gate in Q#?,Q#
How do you apply Hadamard gate to a qubit?,Q#
What is the CNOT gate in Q#?,Q#
What is superposition in quantum computing?,Q#
What is entanglement in Q#?,Q#
What is the return type of M operation?,Q#
What are the possible values of Result type?,Q#
What does Reset(q) do in Q#?,Q#
What is a namespace in Q#?,Q#
How do you define a namespace in Q#?,Q#
What is open keyword used for in Q#?,Q#
What is the default namespace in Q# programs?,Q#
What is the Q# simulator?,Q#
What does using block do in Q#?,Q#
What does borrowing block do in Q#?,Q#
What is controlled operation in Q#?,Q#
What is adjoint in Q#?,Q#
What does unitary mean in Q#?,Q#
Can Q# run without Visual Studio?,Q#
What does return keyword do in Q#?,Q#
What is mutable keyword in Q#?,Q#
What is set keyword in Q#?,Q#
What is let keyword in Q#?,Q#
